has_N,has_P,has_K,N_boost,P_boost,K_boost,slope_encoded,variety_encoded,prev_crop_encoded,sector_encoded,planting_month,growing_days,total_rainfall_mm,mean_temp_C,yield_t_ha,crop
1,1,1,0,0,0,0,0,0,1,8.0,127.0,392.0,28.35,2.27,bean
1,1,0,0,0,0,0,0,0,1,8.0,127.0,392.0,28.35,2.7,bean
1,0,1,0,0,0,0,0,0,1,8.0,127.0,392.0,28.35,2.4,bean
0,1,1,0,0,0,0,0,0,1,8.0,127.0,392.0,28.35,2.49,bean
1,1,1,1,0,0,0,0,0,1,8.0,127.0,392.0,28.35,2.49,bean
1,1,1,2,0,0,0,0,0,1,8.0,127.0,392.0,28.35,2.1,bean
1,1,1,0,1,0,0,0,0,1,8.0,127.0,392.0,28.35,2.82,bean
1,1,1,0,2,0,0,0,0,1,8.0,127.0,392.0,28.35,2.9,bean
1,1,1,0,3,0,0,0,0,1,8.0,127.0,392.0,28.35,2.95,bean
1,1,1,0,0,1,0,0,0,1,8.0,127.0,392.0,28.35,2.4,bean
1,1,1,0,0,2,0,0,0,1,8.0,127.0,392.0,28.35,2.45,bean
1,1,1,0,0,3,0,0,0,1,8.0,127.0,392.0,28.35,2.25,bean
1,1,1,2,2,2,0,0,0,1,8.0,127.0,392.0,28.35,2.6,bean
1,1,1,3,3,3,0,0,0,1,8.0,127.0,392.0,28.35,2.15,bean
0,0,0,0,0,0,0,0,0,1,8.0,127.0,392.0,28.35,1.0,bean
1,1,0,0,0,0,0,0,0,1,8.0,127.0,392.0,28.35,2.52,bean
1,1,1,0,0,0,0,0,2,1,10.0,69.0,296.4,28.023333333333337,2.62,bean
1,1,0,0,0,0,0,0,0,0,9.0,96.0,364.6,28.070000000000004,3.0,bean
1,0,1,0,0,0,0,0,0,0,9.0,96.0,364.6,28.070000000000004,2.7,bean
0,1,1,0,0,0,0,0,0,0,9.0,96.0,364.6,28.070000000000004,2.0,bean
1,1,1,1,0,0,0,0,0,0,9.0,96.0,364.6,28.070000000000004,2.79,bean
1,1,1,2,0,0,0,0,0,0,9.0,96.0,364.6,28.070000000000004,2.89,bean
1,1,1,0,1,0,0,0,0,0,9.0,96.0,364.6,28.070000000000004,3.1,bean
1,1,1,0,2,0,0,0,0,0,9.0,96.0,364.6,28.070000000000004,2.82,bean
1,1,1,0,3,0,0,0,0,0,9.0,96.0,364.6,28.070000000000004,3.0,bean
1,1,1,0,0,1,0,0,0,0,9.0,96.0,364.6,28.070000000000004,2.95,bean
1,1,1,0,0,2,0,0,0,0,9.0,96.0,364.6,28.070000000000004,2.4,bean
1,1,1,0,0,3,0,0,0,0,9.0,96.0,364.6,28.070000000000004,2.45,bean
1,1,1,2,2,2,0,0,0,0,9.0,96.0,364.6,28.070000000000004,2.75,bean
1,1,1,3,3,3,0,0,0,0,9.0,96.0,364.6,28.070000000000004,2.6,bean
0,0,0,0,0,0,0,0,0,0,9.0,96.0,364.6,28.070000000000004,1.15,bean
1,1,0,0,0,0,0,0,0,0,9.0,96.0,364.6,28.070000000000004,2.82,bean
1,1,1,0,0,0,0,0,0,0,9.0,96.0,364.6,28.070000000000004,2.72,bean
1,1,0,0,0,0,0,0,1,0,9.0,95.0,364.6,28.070000000000004,2.5,bean
1,0,1,0,0,0,0,0,1,0,9.0,95.0,364.6,28.070000000000004,2.97,bean
0,1,1,0,0,0,0,0,1,0,9.0,95.0,364.6,28.070000000000004,2.5,bean
1,1,1,1,0,0,0,0,1,0,9.0,95.0,364.6,28.070000000000004,2.3,bean
1,1,1,2,0,0,0,0,1,0,9.0,95.0,364.6,28.070000000000004,2.49,bean
1,1,1,0,1,0,0,0,1,0,9.0,95.0,364.6,28.070000000000004,3.0,bean
1,1,1,0,2,0,0,0,1,0,9.0,95.0,364.6,28.070000000000004,2.82,bean
1,1,1,0,3,0,0,0,1,0,9.0,95.0,364.6,28.070000000000004,2.9,bean
1,1,1,0,0,1,0,0,1,0,9.0,95.0,364.6,28.070000000000004,2.95,bean
1,1,1,0,0,2,0,0,1,0,9.0,95.0,364.6,28.070000000000004,2.4,bean
1,1,1,0,0,3,0,0,1,0,9.0,95.0,364.6,28.070000000000004,2.0,bean
1,1,1,2,2,2,0,0,1,0,9.0,95.0,364.6,28.070000000000004,3.25,bean
1,1,1,3,3,3,0,0,1,0,9.0,95.0,364.6,28.070000000000004,2.6,bean
0,0,0,0,0,0,0,0,1,0,9.0,95.0,364.6,28.070000000000004,1.58,bean
1,1,0,0,0,0,0,0,1,0,9.0,95.0,364.6,28.070000000000004,2.62,bean
1,1,1,0,0,0,0,0,1,0,9.0,95.0,364.6,28.070000000000004,2.5,bean
1,1,0,0,0,0,0,0,0,0,9.0,98.0,364.6,28.070000000000004,2.62,bean
1,0,1,0,0,0,0,0,0,0,9.0,98.0,364.6,28.070000000000004,2.2,bean
0,1,1,0,0,0,0,0,0,0,9.0,98.0,364.6,28.070000000000004,2.03,bean
1,1,1,1,0,0,0,0,0,0,9.0,98.0,364.6,28.070000000000004,2.49,bean
1,1,1,2,0,0,0,0,0,0,9.0,98.0,364.6,28.070000000000004,3.0,bean
1,1,1,0,1,0,0,0,0,0,9.0,98.0,364.6,28.070000000000004,2.91,bean
1,1,1,0,2,0,0,0,0,0,9.0,98.0,364.6,28.070000000000004,2.22,bean
1,1,1,0,3,0,0,0,0,0,9.0,98.0,364.6,28.070000000000004,2.0,bean
1,1,1,0,0,1,0,0,0,0,9.0,98.0,364.6,28.070000000000004,2.95,bean
1,1,1,0,0,2,0,0,0,0,9.0,98.0,364.6,28.070000000000004,2.0,bean
1,1,1,0,0,3,0,0,0,0,9.0,98.0,364.6,28.070000000000004,2.2,bean
1,1,1,2,2,2,0,0,0,0,9.0,98.0,364.6,28.070000000000004,2.75,bean
1,1,1,3,3,3,0,0,0,0,9.0,98.0,364.6,28.070000000000004,2.81,bean
0,0,0,0,0,0,0,0,0,0,9.0,98.0,364.6,28.070000000000004,1.31,bean
1,1,0,0,0,0,0,0,0,0,9.0,98.0,364.6,28.070000000000004,2.48,bean
1,1,1,0,0,0,0,0,0,0,9.0,98.0,364.6,28.070000000000004,2.04,bean
1,1,0,0,0,0,0,0,0,1,9.0,96.0,364.6,28.070000000000004,2.7,bean
1,0,1,0,0,0,0,0,0,1,9.0,96.0,364.6,28.070000000000004,1.6,bean
0,1,1,0,0,0,0,0,0,1,9.0,96.0,364.6,28.070000000000004,1.7,bean
1,1,1,1,0,0,0,0,0,1,9.0,96.0,364.6,28.070000000000004,2.49,bean
1,1,1,2,0,0,0,0,0,1,9.0,96.0,364.6,28.070000000000004,3.0,bean
1,1,1,0,1,0,0,0,0,1,9.0,96.0,364.6,28.070000000000004,2.82,bean
1,1,1,0,2,0,0,0,0,1,9.0,96.0,364.6,28.070000000000004,2.3,bean
1,1,1,0,3,0,0,0,0,1,9.0,96.0,364.6,28.070000000000004,2.95,bean
1,1,1,0,0,1,0,0,0,1,9.0,96.0,364.6,28.070000000000004,2.6,bean
1,1,1,0,0,2,0,0,0,1,9.0,96.0,364.6,28.070000000000004,2.45,bean
1,1,1,0,0,3,0,0,0,1,9.0,96.0,364.6,28.070000000000004,2.32,bean
1,1,1,2,2,2,0,0,0,1,9.0,96.0,364.6,28.070000000000004,2.9,bean
1,1,1,3,3,3,0,0,0,1,9.0,96.0,364.6,28.070000000000004,2.78,bean
0,0,0,0,0,0,0,0,0,1,9.0,96.0,364.6,28.070000000000004,1.62,bean
1,1,0,0,0,0,0,0,0,1,9.0,96.0,364.6,28.070000000000004,2.52,bean
1,1,1,0,0,0,0,0,2,1,10.0,69.0,296.4,28.023333333333337,2.2,bean
1,1,0,0,0,0,0,0,2,1,10.0,69.0,296.4,28.023333333333337,2.94,bean
1,0,1,0,0,0,0,0,2,1,10.0,69.0,296.4,28.023333333333337,2.49,bean
0,1,1,0,0,0,0,0,2,1,10.0,69.0,296.4,28.023333333333337,2.41,bean
1,1,1,1,0,0,0,0,2,1,10.0,69.0,296.4,28.023333333333337,2.42,bean
1,1,1,2,0,0,0,0,2,1,10.0,69.0,296.4,28.023333333333337,2.82,bean
1,1,1,0,1,0,0,0,2,1,10.0,69.0,296.4,28.023333333333337,2.91,bean
1,1,1,0,2,0,0,0,2,1,10.0,69.0,296.4,28.023333333333337,2.95,bean
1,1,1,0,3,0,0,0,2,1,10.0,69.0,296.4,28.023333333333337,2.33,bean
1,1,1,0,0,1,0,0,2,1,10.0,69.0,296.4,28.023333333333337,3.11,bean
1,1,1,0,0,2,0,0,2,1,10.0,69.0,296.4,28.023333333333337,2.75,bean
1,1,1,0,0,3,0,0,2,1,10.0,69.0,296.4,28.023333333333337,2.81,bean
1,1,1,2,2,2,0,0,2,1,10.0,69.0,296.4,28.023333333333337,2.31,bean
1,1,1,3,3,3,0,0,2,1,10.0,69.0,296.4,28.023333333333337,2.04,bean
0,0,0,0,0,0,0,0,2,1,10.0,69.0,296.4,28.023333333333337,1.38,bean
1,1,0,0,0,0,0,0,0,1,9.0,96.0,364.6,28.070000000000004,2.5,bean
