Year,Month,Rainfall_mm,Max_Temp_C,Humidity_pct
2015.0,1.0,0.2,28.25,
2015.0,2.0,45.0,28.93,
2015.0,3.0,52.2,28.73,
2015.0,4.0,105.8,16.71,
2015.0,5.0,,0.0,
2015.0,6.0,,0.0,
2015.0,7.0,,0.0,
2015.0,8.0,,10.63,
2015.0,9.0,,27.13,
2015.0,10.0,,0.0,
2015.0,11.0,,0.0,
2015.0,12.0,,0.0,
2016.0,1.0,,0.0,
2016.0,2.0,,0.0,
2016.0,3.0,,20.27,76.38
2016.0,4.0,,27.28,83.87
2016.0,5.0,,28.3,72.16
2016.0,6.0,,28.73,63.13
2016.0,7.0,,29.42,57.36
2016.0,8.0,,29.97,52.71
2016.0,9.0,,29.71,66.83
2016.0,10.0,,28.14,76.18
2016.0,11.0,,26.57,85.33
2016.0,12.0,,27.33,81.1
2017.0,1.0,19.8,29.53,68.1
2017.0,2.0,16.8,28.31,
2017.0,3.0,147.3,27.19,
2017.0,4.0,60.4,26.58,
2017.0,5.0,49.8,26.83,
2017.0,6.0,0.0,28.9,
2017.0,7.0,4.1,28.94,
2017.0,8.0,8.4,28.8,
2017.0,9.0,70.0,28.75,75.87
2017.0,10.0,,,79.1
2017.0,11.0,52.8,26.63,82.19
2017.0,12.0,5.4,28.27,74.34
2018.0,1.0,93.5,27.96,
2018.0,2.0,39.1,29.41,72.61
2018.0,3.0,,26.77,79.86
2018.0,4.0,186.3,25.82,82.82
2018.0,5.0,160.6,25.74,
2018.0,6.0,39.2,26.95,
2018.0,7.0,8.6,27.67,
2018.0,8.0,57.4,28.06,
2018.0,9.0,46.6,28.95,
2018.0,10.0,107.2,27.84,75.78
2018.0,11.0,124.6,26.87,
2018.0,12.0,73.7,26.18,83.7
2019.0,1.0,26.3,28.11,76.77
2019.0,2.0,50.2,28.94,75.44
2019.0,3.0,99.3,27.33,80.86
2019.0,4.0,103.4,27.63,82.21
2019.0,5.0,112.3,26.45,82.78
2019.0,6.0,33.2,27.13,78.4
2019.0,7.0,60.4,27.77,71.97
2019.0,8.0,116.9,28.47,72.03
2019.0,9.0,129.4,28.08,77.86
2019.0,10.0,154.4,25.47,84.38
2019.0,11.0,137.4,26.25,83.79
2019.0,12.0,91.1,26.95,82.6
2020.0,1.0,48.6,27.09,81.65
2020.0,2.0,141.1,28.16,80.36
2020.0,3.0,252.6,27.62,83.33
2020.0,4.0,189.3,26.77,83.94
2020.0,5.0,53.9,27.35,79.33
2020.0,6.0,7.7,27.71,72.85
2020.0,7.0,4.3,27.67,64.56
2020.0,8.0,25.4,29.1,69.56
2020.0,9.0,98.1,28.66,73.21
2020.0,10.0,140.7,27.69,78.33
2020.0,11.0,154.4,25.92,84.46
2020.0,12.0,10.7,27.03,79.94
2021.0,1.0,64.0,26.56,80.45
2021.0,2.0,75.9,27.91,79.47
2021.0,3.0,111.3,27.62,78.73
2021.0,4.0,60.5,26.86,80.49
2021.0,5.0,70.2,27.62,80.47
2021.0,6.0,0.0,28.55,69.98
2021.0,7.0,9.9,28.55,60.68
2021.0,8.0,27.4,29.47,65.57
2021.0,9.0,68.2,28.21,75.48
2021.0,10.0,100.3,28.16,79.05
2021.0,11.0,43.0,27.9,79.21
2021.0,12.0,153.1,28.01,80.52
2022.0,1.0,35.1,28.46,75.45
2022.0,2.0,85.4,26.71,79.79
2022.0,3.0,99.2,27.93,75.42
2022.0,4.0,,,77.98
2022.0,5.0,28.0,27.25,73.54
2022.0,6.0,0.6,27.93,62.3
2022.0,7.0,36.1,28.7,52.87
2022.0,8.0,65.0,27.83,64.64
2022.0,9.0,132.9,27.62,71.57
2022.0,10.0,129.0,28.29,71.74
2022.0,11.0,175.5,26.48,77.63
2022.0,12.0,61.9,26.42,72.32
2023.0,1.0,,27.7,
2023.0,2.0,,29.13,
2023.0,3.0,,27.55,
2023.0,4.0,,26.87,
2023.0,5.0,,28.24,
2023.0,6.0,,28.78,
2023.0,7.0,,29.75,
2023.0,8.0,,30.71,
2023.0,10.0,127.8,,
2023.0,11.0,,,74.96
2023.0,12.0,77.6,27.93,71.42
2024.0,1.0,146.7,27.66,74.07
2024.0,2.0,120.1,28.29,70.92
2024.0,3.0,52.5,28.97,67.18
2024.0,4.0,108.0,27.63,71.89
2024.0,5.0,41.9,28.69,70.31
2024.0,6.0,,29.55,59.21
2024.0,7.0,1.1,30.03,62.81
2024.0,8.0,45.3,29.74,64.36
2024.0,9.0,37.8,30.12,67.11
2024.0,10.0,126.8,28.48,73.02
2024.0,11.0,167.5,27.56,78.91
2024.0,12.0,96.5,27.99,78.44
2025.0,1.0,10.1,29.47,68.45
2025.0,2.0,40.0,30.85,67.18
2025.0,3.0,113.6,28.75,70.79
2025.0,4.0,132.1,27.83,78.28
2025.0,5.0,185.4,26.77,78.66
2025.0,6.0,15.3,27.61,69.55
2025.0,7.0,3.8,28.59,58.5
2025.0,8.0,65.8,28.0,63.63
2025.0,9.0,57.7,29.96,63.56
2025.0,10.0,198.8,27.92,74.46
2025.0,11.0,211.1,27.63,76.53
2025.0,12.0,81.9,27.06,78.22
