has_N,has_P,has_K,N_boost,P_boost,K_boost,slope_encoded,variety_encoded,prev_crop_encoded,sector_encoded,planting_month,growing_days,total_rainfall_mm,mean_temp_C,yield_t_ha,crop
1,1,1,0,0,0,0,0,0,1,7.0,154.0,401.9,28.38333333333333,6.097560976,rice
1,1,1,0,0,0,0,0,0,1,7.0,154.0,401.9,28.38333333333333,6.631097561,rice
1,1,1,3,0,0,0,0,0,1,7.0,154.0,401.9,28.38333333333333,5.391804588,rice
1,1,1,3,0,0,0,0,0,1,7.0,154.0,401.9,28.38333333333333,8.400025407,rice
1,1,1,3,0,0,0,0,0,1,7.0,154.0,401.9,28.38333333333333,8.684124564,rice
1,1,1,0,2,0,0,0,0,1,7.0,154.0,401.9,28.38333333333333,5.79912529,rice
1,1,1,0,3,0,0,0,0,1,7.0,154.0,401.9,28.38333333333333,6.990871806,rice
1,1,1,0,3,0,0,0,0,1,7.0,154.0,401.9,28.38333333333333,7.331591173,rice
1,1,1,0,0,2,0,0,0,1,7.0,154.0,401.9,28.38333333333333,6.159761542,rice
1,1,1,0,0,3,0,0,0,1,7.0,154.0,401.9,28.38333333333333,7.038327526,rice
1,1,1,2,2,2,0,0,0,1,7.0,154.0,401.9,28.38333333333333,8.640026132,rice
0,0,0,0,0,0,0,0,0,1,7.0,154.0,401.9,28.38333333333333,2.29810903,rice
1,1,1,0,0,0,0,0,0,1,7.0,147.0,401.9,28.38333333333333,6.432291667,rice
1,1,1,0,0,0,0,0,0,1,7.0,147.0,401.9,28.38333333333333,6.582099303,rice
1,1,1,3,0,0,0,0,0,1,7.0,147.0,401.9,28.38333333333333,5.81409698,rice
1,1,1,3,0,0,0,0,0,1,7.0,147.0,401.9,28.38333333333333,8.139155052,rice
1,1,1,3,0,0,0,0,0,1,7.0,147.0,401.9,28.38333333333333,8.75,rice
1,1,1,0,2,0,0,0,0,1,7.0,147.0,401.9,28.38333333333333,6.740889954,rice
1,1,1,0,3,0,0,0,0,1,7.0,147.0,401.9,28.38333333333333,7.3459277,rice
1,1,1,0,3,0,0,0,0,1,7.0,147.0,401.9,28.38333333333333,7.148301394,rice
1,1,1,0,0,2,0,0,0,1,7.0,147.0,401.9,28.38333333333333,6.162438298,rice
1,1,1,0,0,3,0,0,0,1,7.0,147.0,401.9,28.38333333333333,6.473577236,rice
1,1,1,2,2,2,0,0,0,1,7.0,147.0,401.9,28.38333333333333,8.264372822,rice
0,0,0,0,0,0,0,0,0,1,7.0,147.0,401.9,28.38333333333333,2.672401278,rice
1,1,1,0,0,0,0,0,0,0,7.0,156.0,437.0,28.39428571428571,5.829159408,rice
1,1,1,0,0,0,0,0,0,0,7.0,156.0,437.0,28.39428571428571,6.169152875,rice
1,1,1,3,0,0,0,0,0,0,7.0,156.0,437.0,28.39428571428571,4.883493031,rice
1,1,1,3,0,0,0,0,0,0,7.0,156.0,437.0,28.39428571428571,7.087597997,rice
1,1,1,3,0,0,0,0,0,0,7.0,156.0,437.0,28.39428571428571,7.98698824,rice
1,1,1,0,2,0,0,0,0,0,7.0,156.0,437.0,28.39428571428571,6.53146777,rice
1,1,1,0,3,0,0,0,0,0,7.0,156.0,437.0,28.39428571428571,7.440929878,rice
1,1,1,0,3,0,0,0,0,0,7.0,156.0,437.0,28.39428571428571,6.556148374,rice
1,1,1,0,0,2,0,0,0,0,7.0,156.0,437.0,28.39428571428571,5.821628194,rice
1,1,1,0,0,3,0,0,0,0,7.0,156.0,437.0,28.39428571428571,6.305540433,rice
1,1,1,2,2,2,0,0,0,0,7.0,156.0,437.0,28.39428571428571,8.048871225,rice
0,0,0,0,0,0,0,0,0,0,7.0,156.0,437.0,28.39428571428571,2.467606707,rice
1,1,1,0,0,0,0,0,0,1,8.0,143.0,392.0,28.35,5.572190767,rice
1,1,1,0,0,0,0,0,0,1,8.0,143.0,392.0,28.35,6.134672619,rice
1,1,1,3,0,0,0,0,0,1,8.0,143.0,392.0,28.35,4.968423345,rice
1,1,1,3,0,0,0,0,0,1,8.0,143.0,392.0,28.35,7.758057491,rice
1,1,1,3,0,0,0,0,0,1,8.0,143.0,392.0,28.35,7.314623258,rice
1,1,1,0,2,0,0,0,0,1,8.0,143.0,392.0,28.35,5.730436992,rice
1,1,1,0,3,0,0,0,0,1,8.0,143.0,392.0,28.35,6.198279617,rice
1,1,1,0,3,0,0,0,0,1,8.0,143.0,392.0,28.35,6.689441783,rice
1,1,1,0,0,2,0,0,0,1,8.0,143.0,392.0,28.35,5.809923055,rice
1,1,1,0,0,3,0,0,0,1,8.0,143.0,392.0,28.35,6.683362369,rice
1,1,1,2,2,2,0,0,0,1,8.0,143.0,392.0,28.35,7.38902802,rice
0,0,0,0,0,0,0,0,0,1,8.0,143.0,392.0,28.35,2.593005952,rice
1,1,1,0,0,0,0,0,0,1,8.0,150.0,392.0,28.35,6.18902439,rice
1,1,1,0,0,0,0,0,0,1,8.0,150.0,392.0,28.35,6.357977642,rice
1,1,1,3,0,0,0,0,0,1,8.0,150.0,392.0,28.35,5.725446429,rice
1,1,1,3,0,0,0,0,0,1,8.0,150.0,392.0,28.35,8.274807636,rice
1,1,1,3,0,0,0,0,0,1,8.0,150.0,392.0,28.35,8.323170732,rice
1,1,1,0,2,0,0,0,0,1,8.0,150.0,392.0,28.35,6.024970964,rice
1,1,1,0,3,0,0,0,0,1,8.0,150.0,392.0,28.35,6.809850465,rice
1,1,1,0,3,0,0,0,0,1,8.0,150.0,392.0,28.35,7.087597997,rice
1,1,1,0,0,2,0,0,0,1,8.0,150.0,392.0,28.35,6.157447735,rice
1,1,1,0,0,3,0,0,0,1,8.0,150.0,392.0,28.35,6.605691057,rice
1,1,1,2,2,2,0,0,0,1,8.0,150.0,392.0,28.35,8.705357143,rice
0,0,0,0,0,0,0,0,0,1,8.0,150.0,392.0,28.35,2.795622822,rice
1,1,1,0,0,0,0,0,0,1,2.0,131.0,213.20000000000002,27.455,7.039679515,rice
1,1,1,0,0,0,0,0,0,1,2.0,131.0,213.20000000000002,27.455,6.524363023,rice
1,1,1,3,0,0,0,0,0,1,2.0,131.0,213.20000000000002,27.455,6.09375,rice
1,1,1,3,0,0,0,0,0,1,2.0,131.0,213.20000000000002,27.455,8.369628339,rice
1,1,1,3,0,0,0,0,0,1,2.0,131.0,213.20000000000002,27.455,7.505580357,rice
1,1,1,0,2,0,0,0,0,1,2.0,131.0,213.20000000000002,27.455,7.6584277,rice
1,1,1,0,3,0,0,0,0,1,2.0,131.0,213.20000000000002,27.455,7.891006098,rice
1,1,1,0,3,0,0,0,0,1,2.0,131.0,213.20000000000002,27.455,6.328578688,rice
1,1,1,0,0,2,0,0,0,1,2.0,131.0,213.20000000000002,27.455,6.324186992,rice
1,1,1,0,0,3,0,0,0,1,2.0,131.0,213.20000000000002,27.455,6.450430096,rice
1,1,1,2,2,2,0,0,0,1,2.0,131.0,213.20000000000002,27.455,8.53350029,rice
0,0,0,0,0,0,0,0,0,1,2.0,131.0,213.20000000000002,27.455,2.999237805,rice
1,1,1,0,0,0,0,0,0,1,2.0,138.0,249.3,27.703999999999997,6.243557636,rice
1,1,1,0,0,0,0,0,0,1,2.0,138.0,249.3,27.703999999999997,5.555177483,rice
1,1,1,3,0,0,0,0,0,1,2.0,138.0,249.3,27.703999999999997,4.060912093,rice
1,1,1,3,0,0,0,0,0,1,2.0,138.0,249.3,27.703999999999997,7.298780488,rice
1,1,1,3,0,0,0,0,0,1,2.0,138.0,249.3,27.703999999999997,6.908536585,rice
1,1,1,0,2,0,0,0,0,1,2.0,138.0,249.3,27.703999999999997,7.813044425,rice
1,1,1,0,3,0,0,0,0,1,2.0,138.0,249.3,27.703999999999997,6.213559814,rice
1,1,1,0,3,0,0,0,0,1,2.0,138.0,249.3,27.703999999999997,4.077635017,rice
1,1,1,0,0,2,0,0,0,1,2.0,138.0,249.3,27.703999999999997,5.671548345,rice
1,1,1,0,0,3,0,0,0,1,2.0,138.0,249.3,27.703999999999997,5.434904907,rice
1,1,1,2,2,2,0,0,0,1,2.0,138.0,249.3,27.703999999999997,7.172709785,rice
0,0,0,0,0,0,0,0,0,1,2.0,138.0,249.3,27.703999999999997,2.888356562,rice
1,1,1,0,0,0,0,0,0,1,2.0,134.0,249.3,27.703999999999997,5.742160279,rice
1,1,1,0,0,0,0,0,0,1,2.0,134.0,249.3,27.703999999999997,5.030487805,rice
1,1,1,3,0,0,0,0,0,1,2.0,134.0,249.3,27.703999999999997,6.258620064,rice
1,1,1,3,0,0,0,0,0,1,2.0,134.0,249.3,27.703999999999997,7.1086491,rice
1,1,1,3,0,0,0,0,0,1,2.0,134.0,249.3,27.703999999999997,6.598976481,rice
1,1,1,0,2,0,0,0,0,1,2.0,134.0,249.3,27.703999999999997,6.601698606,rice
1,1,1,0,3,0,0,0,0,1,2.0,134.0,249.3,27.703999999999997,6.274390244,rice
1,1,1,0,3,0,0,0,0,1,2.0,134.0,249.3,27.703999999999997,5.619555749,rice
1,1,1,0,0,2,0,0,0,1,2.0,134.0,249.3,27.703999999999997,6.77387304,rice
1,1,1,0,0,3,0,0,0,1,2.0,134.0,249.3,27.703999999999997,5.591245645,rice
1,1,1,2,2,2,0,0,0,1,2.0,134.0,249.3,27.703999999999997,6.613167828,rice
0,0,0,0,0,0,0,0,0,1,2.0,134.0,249.3,27.703999999999997,2.881823461,rice
1,1,1,0,0,0,0,0,0,1,2.0,132.5,392.0,28.35,6.553063298,rice
1,1,1,0,0,0,0,0,0,1,2.0,132.5,392.0,28.35,7.331591173,rice
1,1,1,3,0,0,0,0,0,1,2.0,132.5,392.0,28.35,6.516768293,rice
1,1,1,3,0,0,0,0,0,1,2.0,132.5,392.0,28.35,9.117305459,rice
1,1,1,3,0,0,0,0,0,1,2.0,132.5,392.0,28.35,8.493031359,rice
1,1,1,0,2,0,0,0,0,1,2.0,132.5,392.0,28.35,6.78081446,rice
1,1,1,0,3,0,0,0,0,1,2.0,132.5,392.0,28.35,6.970818815,rice
1,1,1,0,3,0,0,0,0,1,2.0,132.5,392.0,28.35,6.131587544,rice
1,1,1,0,0,2,0,0,0,1,2.0,132.5,392.0,28.35,7.007113821,rice
1,1,1,0,0,3,0,0,0,1,2.0,132.5,392.0,28.35,7.258275261,rice
1,1,1,2,2,2,0,0,0,1,2.0,132.5,392.0,28.35,8.983013937,rice
0,0,0,0,0,0,0,0,0,1,2.0,132.5,392.0,28.35,2.953506098,rice
1,1,1,0,0,0,0,0,0,1,2.0,130.0,213.20000000000002,27.455,6.464158682,rice
1,1,1,0,0,0,0,0,0,1,2.0,130.0,213.20000000000002,27.455,5.982215447,rice
1,1,1,3,0,0,0,0,0,1,2.0,130.0,213.20000000000002,27.455,6.315984321,rice
1,1,1,3,0,0,0,0,0,1,2.0,130.0,213.20000000000002,27.455,7.357950421,rice
1,1,1,3,0,0,0,0,0,1,2.0,130.0,213.20000000000002,27.455,6.88448207,rice
1,1,1,0,2,0,0,0,0,1,2.0,130.0,213.20000000000002,27.455,6.420804297,rice
1,1,1,0,3,0,0,0,0,1,2.0,130.0,213.20000000000002,27.455,6.950883783,rice
1,1,1,0,3,0,0,0,0,1,2.0,130.0,213.20000000000002,27.455,5.023301394,rice
1,1,1,0,0,2,0,0,0,1,2.0,130.0,213.20000000000002,27.455,5.079894382,rice
